"School Name","DBN","Borough","Grant Category"
"47 The American Sign Language and English Secondary School","02M047","Manhattan","Gardening & Outdoor Learning"
"Academy for New Americans","30Q235","Queens","Green Team Supports"
"Accion Academy","12X341","Bronx","Gardening & Outdoor Learning"
"Art and Design High School","02M630","Manhattan","Green Team Supports"
"Arturo A. Schomburg Satellite Academy Bronx","12X446","Bronx","Green Team Supports"
"Astor Collegiate Academy","11X299","Bronx","Gardening & Outdoor Learning"
"Bedford Park Elementary School","10X077","Bronx","Gardening & Outdoor Learning"
"Brighter Choice Community School","16K627","Brooklyn","Sustainability Education Programming"
"Bronx Center for Science and Mathematics","09X260","Bronx","Gardening & Outdoor Learning"
"Bronx High School for Writing and Communication Arts","11X253","Bronx","Demonstration Solar Installation"
"Bronx International High School","09X403","Bronx","Gardening & Outdoor Learning"
"Bronx Leadership Academy High School","09X525","Bronx","Gardening & Outdoor Learning"
"Bronx Little School","12X691","Bronx","Sustainability Education Programming"
"Brooklyn Gardens Elementary School","19K557","Brooklyn","Sustainability Education Programming"
"Conselyea Preparatory School","14K577","Brooklyn","Gardening & Outdoor Learning"
"Cultural Academy for the Arts and Sciences","18K629","Brooklyn","Gardening & Outdoor Learning"
"East New York Family Academy","19K409","Brooklyn","Green Team Supports"
"EBC High School for Public Service - Bushwick","32K545","Brooklyn","Gardening & Outdoor Learning"
"Elm Tree Elementary School","24Q211","Queens","Gardening & Outdoor Learning"
"Evergreen Middle School for Urban Exploration","32K562","Brooklyn","Sustainability Education Programming"
"Fairmont Neighborhood School","12X314","Bronx","Gardening & Outdoor Learning"
"George Westinghouse Career and Technical Education High School","13K605","Brooklyn","Demonstration Solar Installation"
"Harvest Collegiate High School","02M534","Manhattan","Green Team Supports"
"High School of World Cultures","12X550","Bronx","Gardening & Outdoor Learning"
"I.S. 219 New Venture School","09X219","Bronx","Gardening & Outdoor Learning"
"I.S. 281 Joseph B Cavallaro","21K281","Brooklyn","Gardening & Outdoor Learning"
"I.S. 5 - The Walter Crowley Intermediate School","24Q005","Queens","Gardening & Outdoor Learning"
"I.S. 528 Bea Fuller Rodgers School","06M528","Manhattan","Sustainability Education Programming"
"I.S. 584","07X584","Bronx","Gardening & Outdoor Learning"
"I.S. X318 Math, Science & Technology Through Arts","12X318","Bronx","Green Team Supports"
"International Community High School","07X334","Bronx","Gardening & Outdoor Learning"
"J.H.S. 074 Nathaniel Hawthorne","26Q074","Queens","Green Team Supports"
"J.H.S. 088 Peter Rouget","15K088","Brooklyn","Gardening & Outdoor Learning"
"J.H.S. 123 James M. Kieran","08X123","Bronx","Sustainability Education Programming"
"J.H.S. 162 The Willoughby","32K162","Brooklyn","Gardening & Outdoor Learning"
"J.H.S. 210 Elizabeth Blackwell","27Q210","Queens","Gardening & Outdoor Learning"
"John Dewey High School","21K540","Brooklyn","Gardening & Outdoor Learning"
"Juan Morel Campos Secondary School","14K071","Brooklyn","Gardening & Outdoor Learning"
"Lafayette Academy","03M256","Manhattan","Sustainability Education Programming"
"Leaders High School","21K572","Brooklyn","Sustainability Education Programming"
"Lower East Side Preparatory High School","01M515","Manhattan","Gardening & Outdoor Learning"
"M.S. 129 Academy for Independent Learning and Leadership","12X129","Bronx","Gardening & Outdoor Learning"
"Manhattan Bridges High School","02M542","Manhattan","Green Team Supports"
"New Explorations into Science, Technology and Math High School","01M539","Manhattan","Demonstration Solar Installation"
"New Utrecht High School","20K445","Brooklyn","Green Team Supports"
"P.S. 006 Lillie D. Blake","02M006","Manhattan","Gardening & Outdoor Learning"
"P.S. 007 Abraham Lincoln","19K007","Brooklyn","Sustainability Education Programming"
"P.S. 011 Highbridge","09X011","Bronx","Green Team Supports"
"P.S. 013 M. L. Lindemeyer","31R013","Staten Island","Gardening & Outdoor Learning"
"P.S. 021 Philip H. Sheridan","11X021","Bronx","Gardening & Outdoor Learning"
"P.S. 023 Carter G. Woodson","14K023","Brooklyn","Green Team Supports"
"P.S. 025 Bilingual School","07X025","Bronx","Sustainability Education Programming"
"P.S. 028 Wright Brothers","06M028","Manhattan","Gardening & Outdoor Learning"
"P.S. 034 Franklin D. Roosevelt","01M034","Manhattan","Sustainability Education Programming"
"P.S. 042 Claremont","09X042","Bronx","Gardening & Outdoor Learning"
"P.S. 045 John Tyler","31R045","Staten Island","Green Team Supports"
"P.S. 048 Mapleton","20K048","Brooklyn","Gardening & Outdoor Learning"
"P.S. 059 William Floyd","14K059","Brooklyn","Gardening & Outdoor Learning"
"P.S. 065 Mother Hale Academy","07X065","Bronx","Gardening & Outdoor Learning"
"P.S. 068 Cambridge","24Q068","Queens","Gardening & Outdoor Learning"
"P.S. 070 Max Schoenfeld","09X070","Bronx","Demonstration Solar Installation"
"P.S. 085 Great Expectations","10X085","Bronx","Sustainability Education Programming"
"P.S. 093 William H. Prescott","13K093","Brooklyn","Gardening & Outdoor Learning"
"P.S. 109 Sedgwick","09X109","Bronx","Sustainability Education Programming"
"P.S. 110","24Q110","Queens","Gardening & Outdoor Learning"
"P.S. 123 Suydam","32K123","Brooklyn","Gardening & Outdoor Learning"
"P.S. 124 Silas B. Dutcher","15K124","Brooklyn","Sustainability Education Programming"
"P.S. 131 Brooklyn","15K131","Brooklyn","Gardening & Outdoor Learning"
"P.S. 142 Amalia Castro","01M142","Manhattan","Gardening & Outdoor Learning"
"P.S. 149 Danny Kaye","19K149","Brooklyn","Green Team Supports"
"P.S. 149 Sojourner Truth","03M149","Manhattan","Gardening & Outdoor Learning"
"P.S. 150 Christopher","23K150","Brooklyn","Sustainability Education Programming"
"P.S. 159 Isaac Pitkin","19K159","Brooklyn","Gardening & Outdoor Learning"
"P.S. 161 Juan Ponce De Leon School","07X161","Bronx","Gardening & Outdoor Learning"
"P.S. 170","09X170","Bronx","Gardening & Outdoor Learning"
"P.S. 171 Peter G. Van Alst","30Q171","Queens","Demonstration Solar Installation"
"P.S. 188 The Island School","01M188","Manhattan","Sustainability Education Programming"
"P.S. 192 Jacob H. Schiff","06M192","Manhattan","Gardening & Outdoor Learning"
"P.S. 194 Countee Cullen","05M194","Manhattan","Gardening & Outdoor Learning"
"P.S. 200- The James McCune Smith School","05M200","Manhattan","Gardening & Outdoor Learning"
"P.S. 226 Alfred De B. Mason","21K226","Brooklyn","Gardening & Outdoor Learning"
"P.S. 233 Langston Hughes","18K233","Brooklyn","Gardening & Outdoor Learning"
"P.S. 270 Johann DeKalb","13K270","Brooklyn","Sustainability Education Programming"
"P.S. 306 Ethan Allen","19K306","Brooklyn","Demonstration Solar Installation"
"P.S. 315 Lab School","10X315","Bronx","Sustainability Education Programming"
"P.S. 360","10X360","Bronx","Green Team Supports"
"P.S. 723","75X723","Bronx","Sustainability Education Programming"
"P.S. K004","75K004","Brooklyn","Gardening & Outdoor Learning"
"P.S. K141","75K141","Brooklyn","Gardening & Outdoor Learning"
"P.S. K231","75K231","Brooklyn","Gardening & Outdoor Learning"
"P.S. K721 - Brooklyn Occupational Training Center","75K721","Brooklyn","Gardening & Outdoor Learning"
"P.S. M094","75M094","Manhattan","Sustainability Education Programming"
"P.S. Q004","75Q004","Queens","Gardening & Outdoor Learning"
"P.S. Q233","75Q233","Queens","Gardening & Outdoor Learning"
"P.S. Q811","75Q811","Queens","Gardening & Outdoor Learning"
"P.S. X176","75X176","Bronx","Gardening & Outdoor Learning"
"P.S. X811","75X811","Bronx","Gardening & Outdoor Learning"
"P.S./I.S. 224","07X224","Bronx","Gardening & Outdoor Learning"
"P.S./I.S. 30 Mary White Ovington","20K030","Brooklyn","Gardening & Outdoor Learning"
"Pathways in Technology Early College High School (P-Tech)","17K122","Brooklyn","Gardening & Outdoor Learning"
"Pelham Academy of Academics and Community Engagement","11X468","Bronx","Gardening & Outdoor Learning"
"Pelham Gardens Middle School","11X566","Bronx","Gardening & Outdoor Learning"
"Pioneer Academy","24Q307","Queens","Gardening & Outdoor Learning"
"Red Hook Neighborhood School","15K676","Brooklyn","Gardening & Outdoor Learning"
"Restoration Academy","13K301","Brooklyn","Gardening & Outdoor Learning"
"Soundview Academy for Culture and Scholarship","08X448","Bronx","Gardening & Outdoor Learning"
"Special Music School","03M859","Manhattan","Gardening & Outdoor Learning"
"Sunset School of Cultural Learning","20K939","Brooklyn","Gardening & Outdoor Learning"
"The 47 American Sign Language & English Lower School","02M347","Manhattan","Gardening & Outdoor Learning"
"The Bronx Mathematics Preparatory School","08X375","Bronx","Gardening & Outdoor Learning"
"The Brooklyn Green School","16K898","Brooklyn","Gardening & Outdoor Learning"
"The Gregory Jocko Jackson School of Sports, Art, and Technology","23K284","Brooklyn","Sustainability Education Programming"
"The SEEALL Academy","20K180","Brooklyn","Gardening & Outdoor Learning"
"Urban Scholars Community School","12X463","Bronx","Gardening & Outdoor Learning"
"West Bronx Academy for the Future","10X243","Bronx","Gardening & Outdoor Learning"
"West Prep Academy","03M421","Manhattan","Gardening & Outdoor Learning"
"World View High School","10X353","Bronx","Demonstration Solar Installation"
