"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"2","2023-01-01T00:32:10.000","2023-01-01T00:40:36.000","1.0","0.97","1.0","N","161","141","2","9.3","1.0","0.5","0.0","0.0","1.0","14.3","2.5","0.0"
"2","2023-01-01T00:55:08.000","2023-01-01T01:01:27.000","1.0","1.1","1.0","N","43","237","1","7.9","1.0","0.5","4.0","0.0","1.0","16.9","2.5","0.0"
"2","2023-01-01T00:25:04.000","2023-01-01T00:37:49.000","1.0","2.51","1.0","N","48","238","1","14.9","1.0","0.5","15.0","0.0","1.0","34.9","2.5","0.0"
"1","2023-01-01T00:03:48.000","2023-01-01T00:13:25.000","0.0","1.9","1.0","N","138","7","1","12.1","7.25","0.5","0.0","0.0","1.0","20.85","0.0","1.25"
"2","2023-01-01T00:10:29.000","2023-01-01T00:21:19.000","1.0","1.43","1.0","N","107","79","1","11.4","1.0","0.5","3.28","0.0","1.0","19.68","2.5","0.0"
"2","2023-01-01T00:50:34.000","2023-01-01T01:02:52.000","1.0","1.84","1.0","N","161","137","1","12.8","1.0","0.5","10.0","0.0","1.0","27.8","2.5","0.0"
"2","2023-01-01T00:09:22.000","2023-01-01T00:19:49.000","1.0","1.66","1.0","N","239","143","1","12.1","1.0","0.5","3.42","0.0","1.0","20.52","2.5","0.0"
"2","2023-01-01T00:27:12.000","2023-01-01T00:49:56.000","1.0","11.7","1.0","N","142","200","1","45.7","1.0","0.5","10.74","3.0","1.0","64.44","2.5","0.0"
"2","2023-01-01T00:21:44.000","2023-01-01T00:36:40.000","1.0","2.95","1.0","N","164","236","1","17.7","1.0","0.5","5.68","0.0","1.0","28.38","2.5","0.0"
"2","2023-01-01T00:39:42.000","2023-01-01T00:50:36.000","1.0","3.01","1.0","N","141","107","2","14.9","1.0","0.5","0.0","0.0","1.0","19.9","2.5","0.0"
"2","2023-01-01T00:53:01.000","2023-01-01T01:01:45.000","1.0","1.8","1.0","N","234","68","1","11.4","1.0","0.5","3.28","0.0","1.0","19.68","2.5","0.0"
"1","2023-01-01T00:43:37.000","2023-01-01T01:17:18.000","4.0","7.3","1.0","N","79","264","1","33.8","3.5","0.5","7.75","0.0","1.0","46.55","2.5","0.0"
